/*
 Cornu spiral.
 C(NU) is the x-axis.
 S(NU) is the y-axis.
 DELTA(NU)=0.01
*/
-5.075452E-01 -5.619327E-01
-5.173393E-01 -5.600646E-01
-5.267127E-01 -5.566636E-01
-5.354285E-01 -5.518185E-01
-5.432681E-01 -5.456543E-01
-5.500358E-01 -5.383284E-01
-5.555640E-01 -5.300264E-01
-5.597172E-01 -5.209573E-01
-5.623945E-01 -5.113477E-01
-5.635325E-01 -5.014361E-01
-5.631059E-01 -4.914682E-01
-5.611281E-01 -4.816885E-01
-5.576502E-01 -4.723357E-01
-5.527598E-01 -4.636370E-01
-5.465782E-01 -4.558021E-01
-5.392572E-01 -4.490188E-01
-5.309749E-01 -4.434484E-01
-5.219318E-01 -4.392220E-01
-5.123451E-01 -4.364382E-01
-5.024437E-01 -4.351603E-01
-4.924629E-01 -4.354159E-01
-4.826380E-01 -4.371960E-01
-4.731995E-01 -4.404559E-01
-4.643675E-01 -4.451166E-01
-4.563466E-01 -4.510669E-01
-4.493214E-01 -4.581663E-01
-4.434521E-01 -4.662485E-01
-4.388719E-01 -4.751257E-01
-4.356830E-01 -4.845929E-01
-4.339557E-01 -4.944331E-01
-4.337264E-01 -5.044218E-01
-4.349973E-01 -5.143328E-01
-4.377371E-01 -5.239426E-01
-4.418813E-01 -5.330364E-01
-4.473349E-01 -5.414121E-01
-4.539734E-01 -5.488840E-01
-4.616476E-01 -5.552887E-01
-4.701863E-01 -5.604868E-01
-4.793999E-01 -5.643665E-01
-4.890856E-01 -5.668454E-01
-4.990313E-01 -5.678723E-01
-5.090208E-01 -5.674278E-01
-5.188380E-01 -5.655242E-01
-5.282722E-01 -5.622056E-01
-5.371218E-01 -5.575457E-01
-5.451993E-01 -5.516466E-01
-5.523347E-01 -5.446361E-01
-5.583788E-01 -5.366648E-01
-5.632067E-01 -5.279023E-01
-5.667194E-01 -5.185340E-01
-5.688463E-01 -5.087568E-01
-5.695461E-01 -4.987746E-01
-5.688069E-01 -4.887946E-01
-5.666471E-01 -4.790223E-01
-5.631137E-01 -4.696578E-01
-5.582818E-01 -4.608918E-01
-5.522522E-01 -4.529011E-01
-5.451496E-01 -4.458460E-01
-5.371192E-01 -4.398669E-01
-5.283242E-01 -4.350816E-01
-5.189415E-01 -4.315831E-01
-5.091597E-01 -4.294387E-01
-4.991732E-01 -4.286879E-01
-4.891791E-01 -4.293426E-01
-4.793738E-01 -4.313870E-01
-4.699484E-01 -4.347784E-01
-4.610855E-01 -4.394478E-01
-4.529556E-01 -4.453023E-01
-4.457140E-01 -4.522264E-01
-4.394978E-01 -4.600849E-01
-4.344236E-01 -4.687259E-01
-4.305855E-01 -4.779832E-01
-4.280536E-01 -4.876803E-01
-4.268729E-01 -4.976333E-01
-4.270625E-01 -5.076552E-01
-4.286162E-01 -5.175584E-01
-4.315020E-01 -5.271592E-01
-4.356638E-01 -5.362805E-01
-4.410220E-01 -5.447552E-01
-4.474760E-01 -5.524294E-01
-4.549055E-01 -5.591648E-01
-4.631733E-01 -5.648410E-01
-4.721283E-01 -5.693576E-01
-4.816078E-01 -5.726358E-01
-4.914407E-01 -5.746197E-01
-5.014509E-01 -5.752767E-01
-5.114609E-01 -5.745979E-01
-5.212929E-01 -5.725984E-01
-5.307749E-01 -5.693161E-01
-5.397417E-01 -5.648115E-01
-5.480383E-01 -5.591656E-01
-5.555224E-01 -5.524787E-01
-5.620667E-01 -5.448687E-01
-5.675610E-01 -5.364682E-01
-5.719135E-01 -5.274225E-01
-5.750531E-01 -5.178868E-01
-5.769291E-01 -5.080237E-01
-5.775129E-01 -4.980001E-01
-5.767975E-01 -4.879842E-01
-5.747980E-01 -4.781432E-01
-5.715503E-01 -4.686399E-01
-5.671110E-01 -4.596307E-01
-5.615557E-01 -4.512624E-01
-5.549779E-01 -4.436705E-01
-5.474870E-01 -4.369769E-01
-5.392064E-01 -4.312878E-01
-5.302715E-01 -4.266927E-01
-5.208270E-01 -4.232627E-01
-5.110249E-01 -4.210499E-01
-5.010217E-01 -4.200865E-01
-4.909756E-01 -4.203850E-01
-4.810453E-01 -4.219376E-01
-4.713856E-01 -4.247171E-01
-4.621461E-01 -4.286774E-01
-4.534691E-01 -4.337544E-01
-4.454869E-01 -4.398671E-01
-4.383202E-01 -4.469194E-01
-4.320764E-01 -4.548016E-01
-4.268482E-01 -4.633918E-01
-4.227122E-01 -4.725587E-01
-4.197277E-01 -4.821633E-01
-4.179366E-01 -4.920608E-01
-4.173627E-01 -5.021034E-01
-4.180116E-01 -5.121422E-01
-4.198706E-01 -5.220294E-01
-4.229098E-01 -5.316206E-01
-4.270819E-01 -5.407768E-01
-4.323236E-01 -5.493664E-01
-4.385568E-01 -5.572668E-01
-4.456897E-01 -5.643666E-01
-4.536185E-01 -5.705666E-01
-4.622282E-01 -5.757806E-01
-4.713960E-01 -5.799378E-01
-4.809915E-01 -5.829822E-01
-4.908798E-01 -5.848742E-01
-5.009226E-01 -5.855904E-01
-5.109809E-01 -5.851238E-01
-5.209163E-01 -5.834839E-01
-5.305932E-01 -5.806959E-01
-5.398806E-01 -5.768007E-01
-5.486540E-01 -5.718539E-01
-5.567966E-01 -5.659246E-01
-5.642010E-01 -5.590948E-01
-5.707707E-01 -5.514574E-01
-5.764206E-01 -5.431160E-01
-5.810788E-01 -5.341821E-01
-5.846869E-01 -5.247741E-01
-5.872006E-01 -5.150159E-01
-5.885903E-01 -5.050346E-01
-5.888409E-01 -4.949595E-01
-5.879522E-01 -4.849199E-01
-5.859386E-01 -4.750435E-01
-5.828284E-01 -4.654550E-01
-5.786639E-01 -4.562745E-01
-5.734999E-01 -4.476158E-01
-5.674034E-01 -4.395855E-01
-5.604522E-01 -4.322812E-01
-5.527347E-01 -4.257912E-01
-5.443471E-01 -4.201927E-01
-5.353935E-01 -4.155514E-01
-5.259839E-01 -4.119210E-01
-5.162327E-01 -4.093425E-01
-5.062576E-01 -4.078438E-01
-4.961780E-01 -4.074399E-01
-4.861134E-01 -4.081326E-01
-4.761823E-01 -4.099106E-01
-4.665005E-01 -4.127502E-01
-4.571798E-01 -4.166155E-01
-4.483272E-01 -4.214588E-01
-4.400427E-01 -4.272220E-01
-4.324201E-01 -4.338363E-01
-4.255438E-01 -4.412244E-01
-4.194894E-01 -4.493005E-01
-4.143225E-01 -4.579721E-01
-4.100984E-01 -4.671407E-01
-4.068613E-01 -4.767030E-01
-4.046440E-01 -4.865527E-01
-4.034680E-01 -4.965807E-01
-4.033431E-01 -5.066772E-01
-4.042676E-01 -5.167328E-01
-4.062285E-01 -5.266391E-01
-4.092019E-01 -5.362906E-01
-4.131534E-01 -5.455856E-01
-4.180379E-01 -5.544264E-01
-4.238016E-01 -5.627216E-01
-4.303817E-01 -5.703861E-01
-4.377075E-01 -5.773421E-01
-4.457012E-01 -5.835201E-01
-4.542787E-01 -5.888590E-01
-4.633510E-01 -5.933068E-01
-4.728247E-01 -5.968212E-01
